Stage,Writing,Audio_Name,English,Japanese,sentence
1,01_Life in a Beehive,sentence_1_01_00,"　Bees live together in large groups called colonies. Inside a hive, there is one queen bee who lays all the eggs. The worker bees collect nectar from flowers and bring it back to the hive. They also make honey and protect the hive from danger.
　When young bees are born, the workers feed and care for them. After the young bees grow strong enough, they begin to work for the colony. Each bee has a role, and together they keep the hive alive.","　ミツバチは「コロニー」と呼ばれる大きな群れで生活しています。巣の中には卵を産む女王バチが一匹だけいます。働きバチは花から蜜を集めて巣に持ち帰ります。彼らはハチミツを作り、巣を危険から守る役目も果たします。
　子バチが生まれると、働きバチが世話をして育てます。子バチが十分に強くなると、群れのために働き始めます。それぞれのハチに役割があり、力を合わせて巣を守っているのです。",0
1,01_Life in a Beehive,sentence_1_01_01,Bees live together in large groups called colonies.,ミツバチは「コロニー」と呼ばれる大きな群れで生活しています。,1
1,01_Life in a Beehive,sentence_1_01_02,"Inside a hive, there is one queen bee who lays all the eggs.",巣の中には卵を産む女王バチが一匹だけいます。,2
1,01_Life in a Beehive,sentence_1_01_03,The worker bees collect nectar from flowers and bring it back to the hive.,働きバチは花から蜜を集めて巣に持ち帰ります。,3
1,01_Life in a Beehive,sentence_1_01_04,They also make honey and protect the hive from danger.,彼らはハチミツを作り、巣を危険から守る役目も果たします。,4
1,01_Life in a Beehive,sentence_1_01_05,"When young bees are born, the workers feed and care for them.",子バチが生まれると、働きバチが世話をして育てます。,5
1,01_Life in a Beehive,sentence_1_01_06,"After the young bees grow strong enough, they begin to work for the colony.",子バチが十分に強くなると、群れのために働き始めます。,6
1,01_Life in a Beehive,sentence_1_01_07,"Each bee has a role, and together they keep the hive alive.",それぞれのハチに役割があり、力を合わせて巣を守っているのです。,7
1,02_The History of Sushi,sentence_1_02_00,"　Sushi is one of the most famous foods in Japan. Many people think that sushi started as a modern Japanese dish. However, its history is much older and quite different from what most imagine.
　At first, sushi was a way to preserve fish. People placed fish in rice and let it ferment so the fish could be eaten later. This style was very common in parts of Asia before sushi became popular in Japan.
　Later, Japanese cooks improved the method. They used fresh fish with rice and added vinegar for flavor. This change made sushi easier to eat and helped it become a special food enjoyed at celebrations.
　Today, sushi is loved around the world. From simple rolls to expensive dishes, sushi continues to connect Japan with many cultures.","　寿司は日本でもっとも有名な食べ物のひとつです。多くの人は、寿司は近代の日本料理として始まったと思っています。しかし、その歴史はずっと古く、多くの人が想像するものとはかなり異なります。
　もともと寿司は魚を保存する方法でした。人々は魚を米の中に入れて発酵させ、後で食べられるようにしました。この方法は、寿司が日本で広まる前にアジアの一部でよく使われていました。
　その後、日本の料理人たちはこの方法を改良しました。彼らは新鮮な魚を米と一緒に使い、味を良くするために酢を加えました。この変化によって寿司は食べやすくなり、お祝いの場で楽しまれる特別な料理になりました。
　今日では、寿司は世界中で愛されています。シンプルな巻き寿司から高級な料理まで、寿司は日本と多くの文化をつなぎ続けています。",0
1,02_The History of Sushi,sentence_1_02_01,Sushi is one of the most famous foods in Japan.,寿司は日本でもっとも有名な食べ物のひとつです。,1
1,02_The History of Sushi,sentence_1_02_02,Many people think that sushi started as a modern Japanese dish.,多くの人は、寿司は近代の日本料理として始まったと思っています。,2
1,02_The History of Sushi,sentence_1_02_03,"However, its history is much older and quite different from what most imagine.",しかし、その歴史はずっと古く、多くの人が想像するものとはかなり異なります。,3
1,02_The History of Sushi,sentence_1_02_04,"At first, sushi was a way to preserve fish.",もともと寿司は魚を保存する方法でした。,4
